"productid","startdate","enddate","current_price","price_recommendation"
"PD1001","2020-01-01 00:00:00","2020-01-15 00:00:00",94.26866666666663,91.17800000000003
"PD1002","2020-01-01 00:00:00","2020-01-15 00:00:00",101.67266666666666,103.836
"PD1003","2020-01-01 00:00:00","2020-01-15 00:00:00",107.87266666666666,108.94533333333332
"PD1004","2020-01-01 00:00:00","2020-01-15 00:00:00",92.922,89.978
"PD1005","2020-01-01 00:00:00","2020-01-15 00:00:00",99.20333333333335,100.99933333333334
"PD1006","2020-01-01 00:00:00","2020-01-15 00:00:00",101.54266666666668,100.80666666666669
"PD1007","2020-01-01 00:00:00","2020-01-15 00:00:00",91.90733333333333,96.80066666666669
"PD1008","2020-01-01 00:00:00","2020-01-15 00:00:00",98.53800000000001,95.95533333333333
"PD1009","2020-01-01 00:00:00","2020-01-15 00:00:00",100.16466666666666,103.18200000000002
"PD1010","2020-01-01 00:00:00","2020-01-15 00:00:00",98.32133333333333,100.7166666666667
